,MyAnt,MyBuck,MyFlink,MyHadoop,MyItextpdf,MyJedit,MyLucene,MySynapse,MyTomcat,MyVoldemort,Avg
Simple,14,58,96,29,30,114,29,47,22,5,44
ROS,20,95,149,55,41,169,43,51,31,7,66
RUS,8,27,54,18,12,72,17,38,14,3,26
Smote,36,171,260,87,69,355,72,236,53,12,135
Bag,113,430,669,152,232,917,209,339,181,46,328
ROSBag,194,812,1174,427,363,1491,387,401,287,74,561
RUSBag,70,152,255,61,78,563,139,259,118,28,172
SmoteBag,340,1635,2314,776,670,3382,707,2223,514,117,1267
Boost,155,750,1114,206,299,1213,305,376,231,43,469
ROSBoost,178,1164,1870,519,419,1631,342,528,251,62,696
RUSBoost,65,183,300,99,84,472,131,276,97,30,173
SmoteBoost,386,2430,5524,2477,1070,4854,765,2738,548,162,2095

