project, method, recall-1, precision-1, fMeasure-1, auc
MyAnt,MaxBag, 55.93, 83.81, 67.06,92.4
,ROSMaxBag, 73.71, 70.91, 72.27,92.89
,RUSMaxBag, 86.31, 61.94, 72.11,92.71
,SmoteMaxBag, 68.85, 75.28, 71.9,92.79
,VoteBag, 52.12, 87.28, 65.23,88.01
,ROSVoteBag, 69.43, 73.59, 71.44,90.72
,RUSVoteBag, 82.4, 65.37, 72.89,91.79
,SmoteVoteBag, 64.88, 78.39, 70.97,89.05

MyBuck,MaxBag, 24.91, 77.13, 37.61,87.91
,ROSMaxBag, 51.64, 56.85, 54.1,87.91
,RUSMaxBag, 78.84, 41.42, 54.3,88.06
,SmoteMaxBag, 43.01, 59.54, 49.93,87.11
,VoteBag, 19.39, 78.87, 31.08,78.08
,ROSVoteBag, 45.9, 59.71, 51.88,82.22
,RUSVoteBag, 74.06, 44.74, 55.77,87.39
,SmoteVoteBag, 37.65, 61.98, 46.82,79.04

MyFlink,MaxBag, 48.72, 89.65, 63.12,90.94
,ROSMaxBag, 64.8, 73.64, 68.93,91.51
,RUSMaxBag, 79.37, 56.2, 65.8,91.12
,SmoteMaxBag, 60.88, 76.31, 67.73,91.24
,VoteBag, 45.72, 92.83, 61.26,83.88
,ROSVoteBag, 60.71, 78.52, 68.47,87.56
,RUSVoteBag, 74.99, 60.42, 66.92,89.75
,SmoteVoteBag, 57.18, 80.56, 66.88,86.14

MyHadoop,MaxBag, 64.55, 77.89, 70.59,97.07
,ROSMaxBag, 82.14, 70.1, 75.64,96.9
,RUSMaxBag, 96.05, 51.59, 67.12,96.58
,SmoteMaxBag, 75.03, 72.34, 73.65,96.89
,VoteBag, 61.98, 78.74, 69.35,92.46
,ROSVoteBag, 78.25, 72.49, 75.25,94.23
,RUSVoteBag, 94.9, 53.59, 68.49,95.88
,SmoteVoteBag, 72.45, 74.04, 73.23,91.87

MyItextpdf,MaxBag, 42.81, 76.02, 54.76,88.92
,ROSMaxBag, 61.13, 61.99, 61.55,89.25
,RUSMaxBag, 79.49, 48.26, 60.05,89.28
,SmoteMaxBag, 58.65, 65.73, 61.98,89.44
,VoteBag, 39.88, 78.53, 52.87,81.58
,ROSVoteBag, 56.84, 64.7, 60.5,84.86
,RUSVoteBag, 76.04, 50.82, 60.92,88.11
,SmoteVoteBag, 54.61, 68.02, 60.57,83.71

MyJedit,MaxBag, 73.27, 90.35, 80.91,95.06
,ROSMaxBag, 86.05, 88.59, 87.3,95.47
,RUSMaxBag, 91.28, 79.56, 85.01,95.6
,SmoteMaxBag, 88.14, 90.03, 89.07,96.23
,VoteBag, 72.77, 91.24, 80.96,94.06
,ROSVoteBag, 87.79, 89.58, 88.67,94.83
,RUSVoteBag, 90.22, 81.52, 85.64,94.98
,SmoteVoteBag, 87.04, 90.83, 88.89,94.26

MyLucene,MaxBag, 49.16, 77.77, 60.22,86.01
,ROSMaxBag, 65.77, 68.09, 66.9,87.2
,RUSMaxBag, 75.85, 56.43, 64.7,86.79
,SmoteMaxBag, 64.46, 71.78, 67.9,87.29
,VoteBag, 43.85, 80.16, 56.66,82.16
,ROSVoteBag, 62.54, 71.26, 66.6,84.62
,RUSVoteBag, 71.86, 60.93, 65.94,85.64
,SmoteVoteBag, 61.26, 75.11, 67.46,84.45

MySynapse,MaxBag, 86.8, 92.88, 89.73,98.04
,ROSMaxBag, 91.91, 90.69, 91.29,98.27
,RUSMaxBag, 94.07, 88.1, 90.99,98.39
,SmoteMaxBag, 91.93, 93.42, 92.67,98.7
,VoteBag, 85.34, 94.65, 89.75,97.25
,ROSVoteBag, 91.62, 92.7, 92.16,97.67
,RUSVoteBag, 92.59, 91.41, 91.99,97.61
,SmoteVoteBag, 90.35, 94.6, 92.42,97.57

MyTomcat,MaxBag, 44.21, 78.71, 56.6,82.65
,ROSMaxBag, 60.94, 65.1, 62.94,83.38
,RUSMaxBag, 70.65, 57.79, 63.57,83.32
,SmoteMaxBag, 56.78, 70.77, 63.0,83.86
,VoteBag, 39.38, 82.03, 53.19,79.2
,ROSVoteBag, 55.87, 69.21, 61.81,81.44
,RUSVoteBag, 65.48, 62.15, 63.76,82.32
,SmoteVoteBag, 52.1, 75.03, 61.48,80.89

MyVoldemort,MaxBag, 54.18, 70.5, 61.24,84.92
,ROSMaxBag, 68.46, 61.85, 64.98,84.92
,RUSMaxBag, 77.16, 58.04, 66.24,85.62
,SmoteMaxBag, 63.67, 65.38, 64.5,84.7
,VoteBag, 51.56, 70.83, 59.65,81.91
,ROSVoteBag, 65.69, 63.36, 64.49,82.85
,RUSVoteBag, 73.15, 60.55, 66.24,84.38
,SmoteVoteBag, 60.65, 66.79, 63.55,80.39

